SampleID,NWMRC Sample ID,Treatment,Challenge,Batch,Run Order,Protein_conc,Cog_score
Sam44,Sam1,Veh,cog,Batch1,1,1.26,-0.39
Sam30,Sam3,Veh,cog,Batch1,3,1.58,0.31
Sam4,Sam4,Veh,no,Batch1,4,1.34,NA
Sam32,Sam8,Veh,no,Batch1,8,1.21,NA
Sam26,Sam9,Veh,no,Batch1,9,1.03,NA
Sam10,Sam10,Veh,no,Batch1,10,1.28,NA
Sam2,Sam11,Veh,no,Batch2,11,1.4,NA
Sam20,Sam14,Veh,no,Batch2,14,1.44,NA
Sam38,Sam15,Veh,cog,Batch2,15,1.29,2.25
Sam48,Sam16,Veh,no,Batch2,16,1.27,NA
Sam40,Sam19,Veh,no,Batch2,19,1.2,NA
Sam36,Sam22,Veh,cog,Batch3,22,1.35,1.13
Sam18,Sam23,Veh,no,Batch3,23,1.19,NA
Sam58,Sam25,Veh,cog,Batch3,25,1.44,0.84
Sam54,Sam26,Veh,cog,Batch3,26,1.29,-2.59
Sam24,Sam28,Veh,cog,Batch3,28,1.26,-0.96
Sam12,Sam30,Veh,no,Batch3,30,1.13,NA
Sam6,Sam34,Veh,cog,Batch4,34,1.3,0.51
Sam34,Sam35,Veh,no,Batch4,35,1.05,NA
Sam22,Sam37,Veh,cog,Batch4,37,1.41,-0.33
Sam42,Sam38,Veh,no,Batch4,38,1.18,NA
Sam50,Sam39,Veh,no,Batch4,39,1.33,NA
Sam16,Sam40,Veh,cog,Batch4,40,1.49,0
Sam56,Sam42,Veh,no,Batch5,42,1.21,NA
Sam46,Sam43,Veh,cog,Batch5,43,1.17,-0.52
Sam14,Sam48,Veh,cog,Batch5,48,1.53,0.72
Sam8,Sam51,Veh,cog,Batch6,51,1.28,0.51
Sam28,Sam52,Veh,cog,Batch6,52,1.62,-0.25
Sam52,Sam53,Veh,cog,Batch6,53,1.35,0.24